TEMP,PRES,DEWP,RAIN,date
1.5,1020.4,-16.0,0.0,2013-03-02
0.3,1020.0,-15.3,0.0,2013-03-02
0.0,1019.9,-15.2,0.0,2013-03-02
-1.2,1019.7,-13.7,0.0,2013-03-02
-2.1,1019.1,-13.3,0.0,2013-03-02
-2.2,1018.2,-13.4,0.0,2013-03-02
-2.4,1017.4,-13.0,0.0,2013-03-03
-3.8,1016.5,-12.2,0.0,2013-03-03
-3.8,1015.1,-12.7,0.0,2013-03-03
-4.0,1014.1,-13.4,0.0,2013-03-03
-4.8,1013.6,-13.2,0.0,2013-03-03
-5.6,1013.2,-13.0,0.0,2013-03-03
-5.7,1013.2,-13.1,0.0,2013-03-03
-3.3,1013.5,-12.8,0.0,2013-03-03
-0.3,1012.8,-11.4,0.0,2013-03-03
3.4,1012.5,-12.6,0.0,2013-03-03
6.5,1011.4,-12.2,0.0,2013-03-03
9.0,1010.4,-11.6,0.0,2013-03-03
12.2,1009.1,-13.7,0.0,2013-03-03
15.6,1007.5,-13.8,0.0,2013-03-03
16.6,1006.9,-14.1,0.0,2013-03-03
17.0,1006.8,-14.9,0.0,2013-03-03
16.1,1006.9,-14.4,0.0,2013-03-03
13.9,1007.6,-14.1,0.0,2013-03-03
12.4,1009.0,-14.4,0.0,2013-03-03
8.9,1010.0,-13.5,0.0,2013-03-03
7.7,1010.1,-12.2,0.0,2013-03-03
6.9,1010.6,-12.3,0.0,2013-03-03
6.8,1011.2,-11.9,0.0,2013-03-03
8.6,1012.1,-11.4,0.0,2013-03-03
9.2,1013.2,-12.6,0.0,2013-03-04
7.3,1014.2,-12.5,0.0,2013-03-04
6.1,1014.4,-13.5,0.0,2013-03-04
6.6,1014.2,-14.8,0.0,2013-03-04
4.8,1014.6,-12.2,0.0,2013-03-04
5.4,1015.4,-12.1,0.0,2013-03-04
4.2,1016.1,-12.3,0.0,2013-03-04
6.3,1016.8,-12.3,0.0,2013-03-04
8.9,1017.4,-12.9,0.0,2013-03-04
10.2,1017.6,-13.8,0.0,2013-03-04
11.4,1017.1,-14.4,0.0,2013-03-04
12.7,1016.6,-15.1,0.0,2013-03-04
14.6,1015.4,-14.6,0.0,2013-03-04
15.1,1014.2,-15.2,0.0,2013-03-04
16.1,1013.1,-16.9,0.0,2013-03-04
16.1,1012.5,-16.9,0.0,2013-03-04
14.8,1012.0,-14.4,0.0,2013-03-04
12.9,1012.4,-14.0,0.0,2013-03-04
11.3,1012.7,-13.7,0.0,2013-03-04
8.7,1013.2,-12.5,0.0,2013-03-04
5.9,1013.4,-11.7,0.0,2013-03-04
4.9,1013.4,-11.7,0.0,2013-03-04
4.0,1013.2,-11.6,0.0,2013-03-04
4.2,1012.6,-11.5,0.0,2013-03-04
2.8,1012.1,-11.2,0.0,2013-03-05
1.8,1011.7,-11.0,0.0,2013-03-05
0.8,1011.4,-10.7,0.0,2013-03-05
0.2,1011.0,-10.4,0.0,2013-03-05
-0.1,1010.7,-10.1,0.0,2013-03-05
-0.4,1010.9,-9.6,0.0,2013-03-05
-1.0,1010.6,-9.4,0.0,2013-03-05
1.2,1010.4,-9.4,0.0,2013-03-05
6.0,1010.1,-10.7,0.0,2013-03-05
7.8,1009.5,-10.6,0.0,2013-03-05
9.3,1008.7,-9.3,0.0,2013-03-05
11.0,1007.8,-9.4,0.0,2013-03-05
12.1,1006.5,-9.0,0.0,2013-03-05
13.2,1005.1,-8.1,0.0,2013-03-05
14.1,1004.3,-8.6,0.0,2013-03-05
13.5,1004.1,-8.4,0.0,2013-03-05
13.3,1003.9,-8.0,0.0,2013-03-05
12.4,1004.5,-8.2,0.0,2013-03-05
8.9,1005.0,-7.8,0.0,2013-03-05
7.7,1005.4,-7.6,0.0,2013-03-05
6.3,1005.9,-7.3,0.0,2013-03-05
5.6,1006.0,-7.3,0.0,2013-03-05
4.9,1005.8,-7.0,0.0,2013-03-05
3.7,1005.7,-6.9,0.0,2013-03-05
3.9,1005.4,-6.7,0.0,2013-03-06
3.9,1005.3,-6.4,0.0,2013-03-06
3.5,1004.8,-6.5,0.0,2013-03-06
3.7,1004.7,-6.3,0.0,2013-03-06
2.4,1004.7,-6.2,0.0,2013-03-06
2.1,1004.9,-5.8,0.0,2013-03-06
3.1,1005.1,-5.6,0.0,2013-03-06
4.7,1006.2,-4.9,0.0,2013-03-06
5.5,1006.2,-4.1,0.0,2013-03-06
7.2,1006.1,-5.5,0.0,2013-03-06
8.8,1005.8,-5.5,0.0,2013-03-06
10.6,1004.6,-5.0,0.0,2013-03-06
12.4,1003.4,-4.7,0.0,2013-03-06
13.4,1002.5,-4.3,0.0,2013-03-06
13.6,1001.8,-4.1,0.0,2013-03-06
13.6,1001.9,-3.7,0.0,2013-03-06
13.3,1002.2,-3.9,0.0,2013-03-06
12.0,1002.7,-3.8,0.0,2013-03-06
10.6,1003.7,-3.9,0.0,2013-03-06
7.1,1004.5,-3.5,0.0,2013-03-06
6.2,1004.9,-3.5,0.0,2013-03-06
5.5,1004.5,-3.6,0.0,2013-03-06
4.7,1004.3,-3.6,0.0,2013-03-06
4.5,1004.1,-3.3,0.0,2013-03-06
5.3,1004.2,-3.3,0.0,2013-03-07
6.2,1004.2,-3.2,0.0,2013-03-07
3.0,1003.8,-3.8,0.0,2013-03-07
1.4,1003.6,-4.3,0.0,2013-03-07
1.3,1003.5,-5.0,0.0,2013-03-07
1.0,1003.7,-5.3,0.0,2013-03-07
0.2,1003.6,-5.4,0.0,2013-03-07
4.9,1003.6,-4.4,0.0,2013-03-07
7.0,1003.4,-3.6,0.0,2013-03-07
8.9,1003.2,-3.7,0.0,2013-03-07
12.5,1002.1,-5.5,0.0,2013-03-07
15.0,1000.3,-4.9,0.0,2013-03-07
16.3,998.4,-4.3,0.0,2013-03-07
17.3,996.7,-4.1,0.0,2013-03-07
16.6,995.5,-3.5,0.0,2013-03-07
16.8,994.7,-3.4,0.0,2013-03-07
16.6,994.1,-3.5,0.0,2013-03-07
14.5,993.9,-3.3,0.0,2013-03-07
12.5,994.5,-3.4,0.0,2013-03-07
11.8,994.7,-3.2,0.0,2013-03-07
9.8,994.6,-2.8,0.0,2013-03-07
7.9,995.1,-3.0,0.0,2013-03-07
8.1,995.1,-3.4,0.0,2013-03-07
6.8,995.0,-3.2,0.0,2013-03-07
5.9,995.3,-3.0,0.0,2013-03-08
4.4,995.6,-3.2,0.0,2013-03-08
4.0,995.2,-3.5,0.0,2013-03-08
4.5,994.7,-3.1,0.0,2013-03-08
16.7,994.9,-5.8,0.0,2013-03-08
15.4,995.6,-6.2,0.0,2013-03-08
12.7,996.2,-5.4,0.0,2013-03-08
14.9,996.7,-5.5,0.0,2013-03-08
11.2,997.8,-4.1,0.0,2013-03-08
14.5,997.9,-2.9,0.0,2013-03-08
17.3,997.3,-3.5,0.0,2013-03-08
19.3,996.7,-3.6,0.0,2013-03-08
20.6,995.8,-3.9,0.0,2013-03-08
21.9,994.7,-4.3,0.0,2013-03-08
17.6,995.0,1.5,0.0,2013-03-08
14.8,996.1,0.2,0.0,2013-03-08
13.1,996.5,-0.2,0.0,2013-03-08
11.7,996.5,-0.5,0.0,2013-03-08
10.4,997.4,-1.0,0.0,2013-03-08
9.4,997.3,-0.8,0.0,2013-03-08
8.6,997.1,-1.5,0.0,2013-03-08
7.6,996.9,-2.4,0.0,2013-03-08
6.8,996.0,-3.2,0.0,2013-03-08
5.6,994.5,-3.0,0.0,2013-03-08
4.3,993.1,-3.0,0.0,2013-03-09
3.9,991.9,-2.5,0.0,2013-03-09
3.0,991.2,-2.7,0.0,2013-03-09
2.4,989.8,-2.9,0.0,2013-03-09
1.9,988.9,-3.0,0.0,2013-03-09
2.0,989.2,-3.3,0.0,2013-03-09
1.8,989.0,-3.3,0.0,2013-03-09
6.0,990.5,-2.1,0.0,2013-03-09
14.2,992.3,-1.5,0.0,2013-03-09
16.8,993.8,-2.3,0.0,2013-03-09
14.4,996.8,-7.1,0.0,2013-03-09
12.9,999.1,-11.6,0.0,2013-03-09
10.7,1001.8,-15.8,0.0,2013-03-09
9.6,1003.9,-18.5,0.0,2013-03-09
10.3,1005.2,-17.9,0.0,2013-03-09
10.3,1006.3,-17.9,0.0,2013-03-09
9.2,1008.0,-18.8,0.0,2013-03-09
7.7,1010.2,-20.0,0.0,2013-03-09
6.6,1013.1,-19.9,0.0,2013-03-09
5.7,1015.1,-19.8,0.0,2013-03-09
5.0,1017.0,-19.6,0.0,2013-03-09
4.8,1017.7,-19.7,0.0,2013-03-09
3.8,1018.1,-19.8,0.0,2013-03-09
3.4,1018.0,-20.1,0.0,2013-03-09
4.4,1017.8,-20.1,0.0,2013-03-10
4.9,1018.1,-20.4,0.0,2013-03-10
4.5,1017.9,-20.0,0.0,2013-03-10
4.1,1018.1,-20.3,0.0,2013-03-10
4.7,1018.6,-19.8,0.0,2013-03-10
4.3,1018.8,-20.1,0.0,2013-03-10
3.6,1018.9,-18.6,0.0,2013-03-10
5.7,1019.8,-19.0,0.0,2013-03-10
8.0,1019.8,-18.8,0.0,2013-03-10
9.4,1019.2,-18.7,0.0,2013-03-10
10.6,1018.4,-16.8,0.0,2013-03-10
10.4,1018.1,-16.9,0.0,2013-03-10
11.3,1017.1,-17.2,0.0,2013-03-10
12.1,1016.0,-16.5,0.0,2013-03-10
11.9,1015.1,-15.7,0.0,2013-03-10
11.7,1014.7,-15.9,0.0,2013-03-10
10.9,1014.5,-14.8,0.0,2013-03-10
9.5,1014.6,-15.1,0.0,2013-03-10
8.8,1015.1,-13.6,0.0,2013-03-10
7.2,1015.5,-13.1,0.0,2013-03-10
5.8,1015.7,-12.8,0.0,2013-03-10
4.7,1015.7,-12.3,0.0,2013-03-10
4.2,1015.5,-12.3,0.0,2013-03-10
2.3,1015.4,-12.4,0.0,2013-03-10
1.6,1015.2,-11.6,0.0,2013-03-11
0.5,1015.0,-11.6,0.0,2013-03-11
0.1,1014.3,-11.3,0.0,2013-03-11
-1.4,1014.1,-10.8,0.0,2013-03-11
-2.0,1014.0,-10.8,0.0,2013-03-11
-1.8,1013.5,-10.9,0.0,2013-03-11
-1.7,1014.0,-10.3,0.0,2013-03-11
-0.2,1014.3,-9.6,0.0,2013-03-11
2.7,1014.2,-10.6,0.0,2013-03-11
4.9,1013.7,-9.7,0.0,2013-03-11
6.3,1012.9,-8.4,0.0,2013-03-11
6.8,1011.7,-8.8,0.0,2013-03-11
8.3,1010.4,-9.2,0.0,2013-03-11
9.0,1009.2,-8.1,0.0,2013-03-11
9.8,1007.8,-7.9,0.0,2013-03-11
10.0,1007.0,-7.7,0.0,2013-03-11
10.0,1006.2,-7.7,0.0,2013-03-11
9.8,1006.1,-7.0,0.0,2013-03-11
9.7,1006.7,-6.2,0.0,2013-03-11
9.5,1006.9,-6.4,0.0,2013-03-11
9.4,1007.2,-6.1,0.0,2013-03-11
9.4,1006.7,-3.9,0.0,2013-03-11
9.2,1006.1,-3.4,0.0,2013-03-11
8.8,1005.0,-4.1,0.0,2013-03-11
8.3,1004.4,-4.5,0.0,2013-03-12
7.7,1003.7,-4.4,0.0,2013-03-12
7.7,1003.7,-4.4,0.0,2013-03-12
6.3,1003.2,-1.8,0.0,2013-03-12
6.2,1003.1,-1.7,0.0,2013-03-12
5.3,1003.2,-0.3,0.2,2013-03-12
3.4,1003.6,0.8,1.5,2013-03-12
3.1,1004.0,1.3,0.3,2013-03-12
2.7,1003.8,1.1,0.1,2013-03-12
3.1,1003.3,1.6,0.0,2013-03-12
3.6,1003.6,2.0,0.0,2013-03-12
3.8,1003.7,1.8,0.0,2013-03-12
4.4,1003.9,2.3,0.0,2013-03-12
5.0,1003.9,2.2,0.0,2013-03-12
5.3,1004.3,2.8,0.0,2013-03-12
6.3,1004.2,3.3,0.0,2013-03-12
6.7,1005.0,3.1,0.0,2013-03-12
6.6,1006.2,3.2,0.0,2013-03-12
5.5,1007.9,3.2,0.0,2013-03-12
4.0,1009.6,2.3,0.0,2013-03-12
4.6,1011.4,-0.4,0.0,2013-03-12
5.6,1012.9,-8.7,0.0,2013-03-12
5.0,1014.1,-10.0,0.0,2013-03-12
4.3,1015.1,-10.6,0.0,2013-03-12
3.0,1016.0,-11.0,0.0,2013-03-13
2.6,1016.4,-11.7,0.0,2013-03-13
2.5,1016.4,-11.8,0.0,2013-03-13
1.6,1016.8,-10.0,0.0,2013-03-13
2.0,1017.5,-10.9,0.0,2013-03-13
0.0,1018.3,-10.8,0.0,2013-03-13
0.6,1019.3,-11.5,0.0,2013-03-13
3.3,1020.7,-14.9,0.0,2013-03-13
4.5,1021.8,-18.5,0.0,2013-03-13
5.5,1022.0,-18.4,0.0,2013-03-13
6.3,1022.0,-15.1,0.0,2013-03-13
7.4,1021.3,-15.4,0.0,2013-03-13
8.2,1020.2,-16.2,0.0,2013-03-13
9.2,1019.4,-16.2,0.0,2013-03-13
9.6,1018.5,-16.7,0.0,2013-03-13
10.0,1018.2,-14.0,0.0,2013-03-13
8.2,1018.4,-13.5,0.0,2013-03-13
7.1,1018.9,-13.2,0.0,2013-03-13
6.1,1019.6,-13.5,0.0,2013-03-13
5.3,1020.3,-13.2,0.0,2013-03-13
4.4,1020.8,-12.6,0.0,2013-03-13
3.5,1021.0,-11.3,0.0,2013-03-13
1.5,1020.8,-10.0,0.0,2013-03-13
1.4,1020.9,-9.3,0.0,2013-03-13
2.5,1021.1,-8.8,0.0,2013-03-14
1.4,1021.4,-4.7,0.0,2013-03-14
0.6,1021.2,-4.8,0.0,2013-03-14
0.0,1021.0,-5.0,0.0,2013-03-14
-0.4,1021.0,-5.6,0.0,2013-03-14
-0.8,1021.3,-5.6,0.0,2013-03-14
-1.6,1021.4,-5.3,0.0,2013-03-14
-0.5,1021.7,-5.1,0.0,2013-03-14
1.1,1021.8,-5.0,0.0,2013-03-14
2.1,1021.2,-5.1,0.0,2013-03-14
3.5,1020.2,-4.9,0.0,2013-03-14
4.8,1019.0,-4.8,0.0,2013-03-14
5.9,1018.2,-4.6,0.0,2013-03-14
6.9,1017.1,-4.2,0.0,2013-03-14
8.0,1016.1,-3.8,0.0,2013-03-14
8.2,1015.2,-4.0,0.0,2013-03-14
8.3,1014.8,-3.9,0.0,2013-03-14
7.8,1014.9,-4.0,0.0,2013-03-14
7.3,1015.0,-3.9,0.0,2013-03-14
6.5,1015.3,-3.5,0.0,2013-03-14
3.9,1015.3,-4.1,0.0,2013-03-14
3.2,1015.3,-4.1,0.0,2013-03-14
3.4,1015.1,-3.9,0.0,2013-03-14
1.6,1014.9,-3.9,0.0,2013-03-14
0.9,1014.7,-3.8,0.0,2013-03-15
0.2,1014.3,-3.7,0.0,2013-03-15
0.1,1013.6,-3.8,0.0,2013-03-15
-0.3,1013.3,-3.8,0.0,2013-03-15
-0.3,1013.1,-4.0,0.0,2013-03-15
-0.2,1013.1,-3.7,0.0,2013-03-15
-0.3,1012.9,-3.7,0.0,2013-03-15
1.6,1013.4,-2.7,0.0,2013-03-15
3.9,1013.2,-2.5,0.0,2013-03-15
6.2,1012.6,-2.4,0.0,2013-03-15
7.6,1011.7,-2.7,0.0,2013-03-15
8.8,1010.8,-2.5,0.0,2013-03-15
10.0,1009.9,-2.3,0.0,2013-03-15
11.0,1008.7,-2.1,0.0,2013-03-15
11.4,1008.1,-2.1,0.0,2013-03-15
11.5,1007.6,-2.0,0.0,2013-03-15
11.0,1007.7,-1.4,0.0,2013-03-15
10.6,1008.2,-1.8,0.0,2013-03-15
9.7,1008.9,-1.4,0.0,2013-03-15
8.5,1009.7,-1.1,0.0,2013-03-15
7.3,1010.6,-1.4,0.0,2013-03-15
6.6,1011.6,-1.3,0.0,2013-03-15
5.6,1012.3,-1.1,0.0,2013-03-15
4.6,1012.6,-1.4,0.0,2013-03-15
4.5,1012.7,-1.3,0.0,2013-03-16
4.5,1013.0,-1.3,0.0,2013-03-16
3.5,1013.2,-1.5,0.0,2013-03-16
2.4,1014.1,-1.8,0.0,2013-03-16
2.3,1014.6,-1.5,0.0,2013-03-16
1.9,1015.6,-1.4,0.0,2013-03-16
3.2,1016.6,-1.4,0.0,2013-03-16
4.4,1017.1,-0.8,0.0,2013-03-16
6.6,1017.5,0.1,0.0,2013-03-16
10.7,1017.5,0.1,0.0,2013-03-16
12.9,1017.1,-0.4,0.0,2013-03-16
13.7,1016.1,-2.3,0.0,2013-03-16
14.4,1014.9,-1.7,0.0,2013-03-16
14.3,1013.8,-2.2,0.0,2013-03-16
14.6,1013.1,-1.5,0.0,2013-03-16
13.8,1012.3,-1.4,0.0,2013-03-16
13.4,1011.5,0.1,0.0,2013-03-16
12.4,1011.2,0.8,0.0,2013-03-16
12.0,1010.9,1.0,0.0,2013-03-16
11.4,1011.2,1.1,0.0,2013-03-16
10.2,1011.1,2.3,0.0,2013-03-16
9.5,1010.6,2.6,0.0,2013-03-16
8.4,1009.9,2.2,0.0,2013-03-16
7.9,1009.4,1.5,0.0,2013-03-16
7.4,1008.8,1.0,0.0,2013-03-17
7.2,1008.4,0.2,0.0,2013-03-17
7.2,1006.0,0.4,0.0,2013-03-17
6.8,1005.7,0.2,0.0,2013-03-17
5.9,1005.0,1.0,0.0,2013-03-17
5.3,1004.5,1.0,0.0,2013-03-17
4.1,1003.3,0.8,0.0,2013-03-17
5.8,1002.7,1.1,0.0,2013-03-17
7.3,1002.3,0.9,0.0,2013-03-17
8.4,1001.6,0.8,0.0,2013-03-17
10.1,1000.3,1.5,0.0,2013-03-17
11.9,998.8,1.8,0.0,2013-03-17
13.0,996.9,1.9,0.0,2013-03-17
14.3,995.2,2.2,0.0,2013-03-17
14.6,994.3,2.5,0.0,2013-03-17
15.1,993.5,2.6,0.0,2013-03-17
14.7,992.9,2.6,0.0,2013-03-17
13.9,993.0,2.8,0.0,2013-03-17
11.9,992.8,3.1,0.0,2013-03-17
10.0,993.3,2.6,0.0,2013-03-17
9.1,993.4,2.2,0.0,2013-03-17
9.0,993.4,2.3,0.0,2013-03-17
7.5,993.0,2.0,0.0,2013-03-17
8.1,993.4,1.7,0.0,2013-03-17
12.2,993.8,-9.5,0.0,2013-03-18
11.7,994.3,-8.8,0.0,2013-03-18
10.3,994.5,-9.4,0.0,2013-03-18
10.2,994.8,-11.2,0.0,2013-03-18
8.1,995.5,-8.0,0.0,2013-03-18
7.0,997.2,-8.6,0.0,2013-03-18
5.7,999.0,-12.4,0.0,2013-03-18
6.2,1000.1,-14.6,0.0,2013-03-18
7.6,1000.9,-17.5,0.0,2013-03-18
8.4,1000.8,-18.5,0.0,2013-03-18
9.4,1001.2,-17.7,0.0,2013-03-18
10.2,1000.9,-16.2,0.0,2013-03-18
11.4,1000.0,-16.1,0.0,2013-03-18
11.8,998.5,-16.8,0.0,2013-03-18
12.6,997.2,-16.1,0.0,2013-03-18
12.2,996.3,-15.5,0.0,2013-03-18
11.4,996.1,-15.2,0.0,2013-03-18
10.3,996.4,-16.1,0.0,2013-03-18
8.8,997.3,-5.1,0.0,2013-03-18
6.7,998.8,-3.8,0.0,2013-03-18
5.4,1000.0,-4.2,0.0,2013-03-18
4.6,1000.5,-4.4,0.0,2013-03-18
3.4,1001.1,-4.6,0.0,2013-03-18
2.5,1002.4,-4.3,0.0,2013-03-18
0.7,1003.0,-2.0,0.1,2013-03-19
-0.1,1003.1,-1.5,0.4,2013-03-19
-0.3,1002.5,-1.9,0.0,2013-03-19
-0.5,1003.0,-2.2,0.0,2013-03-19
-0.2,1002.7,-2.6,0.0,2013-03-19
-0.2,1002.7,-2.4,0.0,2013-03-19
0.2,1003.4,-2.5,0.0,2013-03-19
0.7,1004.2,-2.2,0.0,2013-03-19
1.7,1004.6,-2.8,0.0,2013-03-19
2.1,1005.1,-2.1,0.0,2013-03-19
2.4,1005.0,-1.2,0.0,2013-03-19
2.0,1004.8,0.1,0.3,2013-03-19
2.2,1004.5,0.7,0.2,2013-03-19
2.4,1004.6,0.9,0.1,2013-03-19
3.4,1004.7,1.4,0.0,2013-03-19
3.2,1005.2,1.2,0.1,2013-03-19
2.9,1006.2,1.4,0.4,2013-03-19
2.7,1006.9,0.8,0.5,2013-03-19
2.3,1008.3,0.7,0.5,2013-03-19
1.1,1009.8,-0.2,1.8,2013-03-19
0.6,1011.0,-0.3,1.5,2013-03-19
0.4,1011.8,-0.5,1.0,2013-03-19
0.1,1012.7,-0.6,0.8,2013-03-19
-0.2,1013.3,-0.9,1.3,2013-03-19
-0.6,1014.4,-1.3,1.8,2013-03-20
-1.0,1015.3,-1.7,5.7,2013-03-20
-1.5,1015.4,-2.2,1.0,2013-03-20
-1.6,1015.7,-2.3,2.8,2013-03-20
-2.9,1016.1,-3.7,0.7,2013-03-20
-4.1,1016.3,-4.9,0.0,2013-03-20
-4.8,1016.8,-5.8,0.0,2013-03-20
-3.8,1016.8,-6.1,0.0,2013-03-20
-0.6,1017.5,-5.0,0.0,2013-03-20
2.5,1017.7,-7.7,0.0,2013-03-20
4.4,1016.9,-5.4,0.0,2013-03-20
3.0,1016.0,-7.0,0.0,2013-03-20
6.1,1015.1,-9.4,0.0,2013-03-20
6.5,1013.8,-8.6,0.0,2013-03-20
5.7,1013.0,-7.2,0.0,2013-03-20
5.7,1012.1,-5.9,0.0,2013-03-20
5.1,1011.6,-5.6,0.0,2013-03-20
4.3,1011.2,-4.7,0.0,2013-03-20
3.6,1010.9,-3.5,0.0,2013-03-20
3.2,1010.8,-2.8,0.0,2013-03-20
2.1,1010.5,-2.4,0.0,2013-03-20
1.1,1010.2,-2.5,0.0,2013-03-20
0.5,1009.6,-2.7,0.0,2013-03-20
0.4,1008.7,-2.8,0.0,2013-03-20
0.8,1008.1,-3.0,0.0,2013-03-21
1.0,1007.6,-3.1,0.0,2013-03-21
1.0,1006.7,-3.1,0.0,2013-03-21
1.2,1005.7,-3.3,0.0,2013-03-21
0.9,1005.4,-3.6,0.0,2013-03-21
0.5,1004.8,-3.6,0.0,2013-03-21
0.4,1004.3,-3.9,0.0,2013-03-21
0.5,1004.0,-4.3,0.0,2013-03-21
1.5,1003.0,-3.4,0.0,2013-03-21
2.1,1002.3,-3.4,0.0,2013-03-21
2.7,1001.3,-2.8,0.0,2013-03-21
4.4,1000.2,-2.5,0.0,2013-03-21
5.2,999.0,-2.9,0.0,2013-03-21
6.0,998.1,-2.1,0.0,2013-03-21
6.4,997.1,-1.8,0.0,2013-03-21
6.7,996.8,-1.7,0.0,2013-03-21
6.7,996.7,-1.7,0.0,2013-03-21
5.9,997.5,-1.1,0.0,2013-03-21
4.9,998.6,-1.1,0.0,2013-03-21
4.1,999.6,-0.7,0.0,2013-03-21
3.7,1000.7,-0.3,0.0,2013-03-21
3.2,1001.7,-0.4,0.0,2013-03-21
3.1,1002.9,-0.4,0.0,2013-03-21
2.9,1003.7,-0.4,0.0,2013-03-21
4.6,1004.6,-7.9,0.0,2013-03-22
6.9,1005.7,-9.9,0.0,2013-03-22
5.9,1006.7,-11.3,0.0,2013-03-22
4.6,1007.3,-12.8,0.0,2013-03-22
3.9,1008.1,-14.4,0.0,2013-03-22
2.4,1008.8,-10.5,0.0,2013-03-22
2.1,1009.8,-10.4,0.0,2013-03-22
6.0,1010.7,-11.6,0.0,2013-03-22
7.6,1011.1,-11.2,0.0,2013-03-22
7.4,1011.0,-10.9,0.0,2013-03-22
8.5,1010.7,-9.9,0.0,2013-03-22
9.4,1009.8,-10.7,0.0,2013-03-22
9.6,1008.9,-7.2,0.0,2013-03-22
10.7,1008.1,-4.9,0.0,2013-03-22
10.5,1007.6,-4.0,0.0,2013-03-22
9.7,1007.0,-3.6,0.0,2013-03-22
9.5,1006.6,-3.5,0.0,2013-03-22
8.9,1007.0,-3.3,0.0,2013-03-22
8.2,1007.4,-3.7,0.0,2013-03-22
7.6,1007.7,-3.3,0.0,2013-03-22
7.2,1008.3,-4.0,0.0,2013-03-22
5.0,1008.2,-4.1,0.0,2013-03-22
3.8,1008.4,-4.4,0.0,2013-03-22
2.9,1008.0,-4.3,0.0,2013-03-22
2.0,1007.6,-3.9,0.0,2013-03-23
1.4,1006.9,-3.9,0.0,2013-03-23
1.1,1006.2,-4.0,0.0,2013-03-23
0.7,1005.5,-4.0,0.0,2013-03-23
0.6,1005.2,-3.9,0.0,2013-03-23
0.7,1004.7,-3.6,0.0,2013-03-23
0.8,1004.5,-3.5,0.0,2013-03-23
0.9,1003.5,-3.6,0.0,2013-03-23
1.6,1002.8,-4.3,0.0,2013-03-23
2.1,1002.9,-5.8,0.0,2013-03-23
3.0,1002.9,-7.0,0.0,2013-03-23
5.0,1001.5,-4.8,0.0,2013-03-23
5.9,1001.1,-4.3,0.0,2013-03-23
7.6,1000.5,-4.2,0.0,2013-03-23
9.2,1000.4,-4.1,0.0,2013-03-23
12.2,1001.6,-7.8,0.0,2013-03-23
9.7,1003.9,-8.9,0.0,2013-03-23
7.7,1005.8,-10.6,0.0,2013-03-23
6.0,1007.7,-12.1,0.0,2013-03-23
5.0,1010.0,-13.4,0.0,2013-03-23
4.1,1011.4,-15.2,0.0,2013-03-23
3.8,1012.6,-16.0,0.0,2013-03-23
3.2,1013.2,-15.5,0.0,2013-03-23
2.8,1014.0,-16.3,0.0,2013-03-23
1.1,1014.7,-15.0,0.0,2013-03-24
0.1,1015.1,-14.7,0.0,2013-03-24
0.7,1015.1,-15.3,0.0,2013-03-24
0.5,1015.2,-15.9,0.0,2013-03-24
0.1,1015.3,-15.9,0.0,2013-03-24
-0.2,1015.5,-14.9,0.0,2013-03-24
0.1,1016.0,-15.1,0.0,2013-03-24
2.8,1016.3,-17.4,0.0,2013-03-24
4.4,1016.4,-16.7,0.0,2013-03-24
