PM2.5,PM10,SO2,NO2,CO,O3,date
8.0,28.0,3.0,4.0,200.0,81.0,2013-03-04
5.0,19.0,3.0,4.0,200.0,84.0,2013-03-04
11.0,4.0,3.0,4.0,200.0,86.0,2013-03-04
5.0,3.5,3.0,4.0,200.0,87.0,2013-03-04
8.0,3.0,3.0,4.0,200.0,79.0,2013-03-04
7.0,19.0,8.0,7.0,300.0,71.0,2013-03-04
4.0,15.0,10.0,8.0,300.0,69.0,2013-03-04
5.0,16.0,13.0,8.0,300.0,70.0,2013-03-04
8.0,17.0,13.0,7.0,300.0,74.0,2013-03-04
7.0,11.0,6.0,4.0,300.0,80.0,2013-03-04
5.0,6.0,5.0,3.0,200.0,84.0,2013-03-04
10.0,7.0,6.0,4.0,300.0,86.0,2013-03-04
13.0,11.0,10.0,6.0,300.0,88.0,2013-03-04
16.0,18.0,9.0,6.0,300.0,91.0,2013-03-04
18.0,20.0,6.0,6.0,300.0,90.0,2013-03-04
18.0,16.0,5.0,5.0,300.0,92.0,2013-03-04
10.0,10.0,12.0,30.0,600.0,79.0,2013-03-04
39.0,80.0,19.0,46.0,800.0,63.0,2013-03-04
41.0,80.0,18.0,44.0,900.0,49.0,2013-03-04
60.0,74.0,18.0,38.0,800.0,50.0,2013-03-04
50.0,71.0,22.0,38.0,1000.0,45.0,2013-03-04
50.0,70.0,19.0,33.0,900.0,92.0,2013-03-04
52.0,64.0,18.0,30.0,800.0,92.0,2013-03-05
56.0,58.0,14.0,25.0,800.0,92.0,2013-03-05
50.0,54.0,16.0,26.0,700.0,92.0,2013-03-05
88.0,54.0,16.0,30.0,800.0,92.0,2013-03-05
53.0,57.0,15.0,30.0,800.0,92.0,2013-03-05
46.0,55.0,13.0,23.0,700.0,92.0,2013-03-05
43.0,50.0,15.0,26.0,600.0,92.0,2013-03-05
47.0,57.0,17.0,38.0,700.0,92.0,2013-03-05
52.0,64.0,16.0,33.0,700.0,92.0,2013-03-05
52.0,72.0,23.0,30.0,800.0,92.0,2013-03-05
69.0,90.0,30.0,46.0,1000.0,92.0,2013-03-05
79.0,95.0,51.0,76.0,1300.0,92.0,2013-03-05
102.0,138.0,74.0,100.0,1600.0,30.0,2013-03-05
126.0,164.0,55.0,70.0,1300.0,92.0,2013-03-05
131.0,150.0,50.0,61.0,1200.0,92.0,2013-03-05
139.0,142.0,59.0,64.0,1399.0,92.0,2013-03-05
152.0,173.0,58.0,79.0,1399.0,92.0,2013-03-05
154.0,181.0,62.0,99.0,1600.0,82.0,2013-03-05
165.0,194.0,59.0,100.0,1600.0,82.0,2013-03-05
179.0,200.0,50.0,96.0,1600.0,82.0,2013-03-05
172.0,180.0,43.0,94.0,1899.0,82.0,2013-03-05
179.0,191.0,38.0,80.0,1700.0,82.0,2013-03-05
173.0,168.0,39.0,73.0,1800.0,82.0,2013-03-05
170.0,162.0,42.0,72.0,1700.0,82.0,2013-03-05
166.0,153.0,40.0,66.0,1800.0,82.0,2013-03-06
173.0,154.0,38.0,58.0,1500.0,82.0,2013-03-06
161.0,140.0,41.0,61.0,1600.0,82.0,2013-03-06
161.0,143.0,47.0,68.0,1600.0,82.0,2013-03-06
163.0,150.0,49.0,69.0,1600.0,82.0,2013-03-06
166.0,155.0,52.0,62.0,1600.0,82.0,2013-03-06
172.0,164.0,51.0,55.0,1600.0,82.0,2013-03-06
176.0,173.0,66.0,61.0,1700.0,82.0,2013-03-06
183.0,178.0,66.0,61.0,1700.0,82.0,2013-03-06
195.0,201.0,61.0,66.0,1899.0,82.0,2013-03-06
200.0,206.0,68.0,71.0,2000.0,82.0,2013-03-06
217.0,218.0,93.0,106.0,2500.0,82.0,2013-03-06
268.0,278.0,93.0,116.0,2500.0,82.0,2013-03-06
258.0,274.0,89.0,100.0,2100.0,82.0,2013-03-06
221.0,217.0,98.0,82.0,1800.0,82.0,2013-03-06
195.0,222.0,95.0,139.0,3000.0,75.0,2013-03-06
294.0,351.0,88.0,139.0,2700.0,69.0,2013-03-06
288.0,330.0,84.0,118.0,2399.0,69.0,2013-03-06
267.0,288.0,90.0,116.0,2299.0,52.0,2013-03-06
269.0,274.0,87.0,139.0,2500.0,52.0,2013-03-06
280.0,284.0,78.0,141.0,3299.0,52.0,2013-03-06
306.0,317.0,83.0,144.0,3100.0,52.0,2013-03-06
284.0,285.0,76.0,140.0,2700.0,52.0,2013-03-06
236.0,245.0,77.0,134.0,2500.0,52.0,2013-03-06
223.0,228.0,83.0,134.0,2299.0,52.0,2013-03-07
196.0,197.0,69.0,114.0,1899.0,52.0,2013-03-07
150.0,149.0,50.5,74.0,1300.0,52.0,2013-03-07
91.0,85.0,32.0,46.0,200.0,52.0,2013-03-07
61.0,61.0,24.0,36.0,900.0,52.0,2013-03-07
50.0,40.0,20.0,26.0,500.0,52.0,2013-03-07
26.0,13.0,19.0,26.0,400.0,52.0,2013-03-07
19.0,13.0,18.0,31.0,600.0,52.0,2013-03-07
33.0,29.0,20.0,28.0,600.0,52.0,2013-03-07
28.0,39.0,22.0,34.0,900.0,52.0,2013-03-07
47.0,74.0,58.0,102.0,2399.0,52.0,2013-03-07
134.0,204.0,107.0,157.0,3500.0,52.0,2013-03-07
224.0,294.0,72.0,98.0,1899.0,52.0,2013-03-07
153.0,160.0,36.0,44.0,900.0,63.0,2013-03-07
74.0,52.0,30.0,43.0,900.0,75.0,2013-03-07
75.0,83.0,49.0,128.0,1800.0,75.0,2013-03-07
149.0,182.0,68.0,182.0,2500.0,75.0,2013-03-07
223.0,260.0,74.0,180.0,2700.0,75.0,2013-03-07
258.0,282.0,64.0,156.0,2500.0,75.0,2013-03-07
244.0,266.0,58.0,172.0,2700.0,34.0,2013-03-07
253.0,285.0,52.0,147.0,2500.0,75.0,2013-03-07
240.0,244.0,45.0,126.0,2500.0,75.0,2013-03-07
224.0,226.0,41.0,105.0,2200.0,75.0,2013-03-07
219.0,203.0,38.0,87.0,2000.0,75.0,2013-03-07
189.0,189.0,36.0,72.0,1899.0,75.0,2013-03-08
248.0,190.0,33.0,60.0,1700.0,75.0,2013-03-08
167.0,182.0,26.0,84.0,1600.0,75.0,2013-03-08
137.0,164.0,26.0,76.0,1800.0,75.0,2013-03-08
133.0,146.0,18.0,34.0,700.0,75.0,2013-03-08
79.0,100.0,8.0,7.0,300.0,75.0,2013-03-08
41.0,160.0,8.0,9.0,300.0,75.0,2013-03-08
37.0,129.0,9.0,10.0,300.0,75.0,2013-03-08
38.0,137.0,15.0,26.0,400.0,75.0,2013-03-08
48.0,149.0,18.0,30.0,700.0,75.0,2013-03-08
122.0,175.0,31.7016,50.0932,200.0,75.0,2013-03-08
166.0,277.0,43.0,85.0,1700.0,75.0,2013-03-08
108.0,172.0,28.0,48.0,900.0,75.0,2013-03-08
111.0,212.0,27.0,50.0,1000.0,82.0,2013-03-08
146.0,240.0,35.0,91.0,1399.0,82.0,2013-03-08
410.0,631.0,56.0,142.0,3700.0,107.0,2013-03-08
405.0,582.0,83.0,126.0,4900.0,107.0,2013-03-08
190.0,311.0,60.0,74.0,2100.0,107.0,2013-03-08
173.0,244.0,49.0,57.0,1600.0,107.0,2013-03-08
118.0,216.0,39.0,46.0,1300.0,107.0,2013-03-08
120.0,188.0,48.0,50.0,1100.0,107.0,2013-03-08
113.0,156.0,45.0,46.0,1200.0,107.0,2013-03-08
104.0,134.0,32.0,42.0,1200.0,107.0,2013-03-08
105.0,124.0,25.0,47.0,1300.0,107.0,2013-03-08
108.0,123.0,23.0,55.0,1300.0,107.0,2013-03-09
111.0,145.0,17.0,48.0,1300.0,107.0,2013-03-09
110.0,135.0,18.0,50.0,1300.0,107.0,2013-03-09
194.0,120.0,18.0,45.0,1200.0,107.0,2013-03-09
101.0,112.0,20.0,40.0,1200.0,107.0,2013-03-09
106.0,108.0,20.0,34.0,1200.0,107.0,2013-03-09
54.0,102.0,18.0,28.0,1200.0,107.0,2013-03-09
99.0,107.0,21.0,28.0,1300.0,107.0,2013-03-09
118.0,202.0,37.0,36.0,1399.0,107.0,2013-03-09
165.0,610.0,63.0,49.0,1399.0,107.0,2013-03-09
72.0,329.0,17.0,13.0,500.0,107.0,2013-03-09
22.0,408.0,3.0,12.153846153846153,200.0,107.0,2013-03-09
29.0,557.0,3.0,11.307692307692308,200.0,107.0,2013-03-09
32.0,717.0,3.0,10.461538461538462,200.0,107.0,2013-03-09
24.0,539.0,3.0,9.615384615384615,200.0,107.0,2013-03-09
16.0,354.0,3.0,8.76923076923077,200.0,93.0,2013-03-09
15.0,230.0,3.0,7.923076923076923,200.0,89.0,2013-03-09
8.0,147.0,3.0,7.076923076923077,200.0,90.0,2013-03-09
3.0,93.0,3.0,6.230769230769231,200.0,91.0,2013-03-09
10.0,82.0,3.0,5.384615384615385,200.0,91.0,2013-03-09
10.0,70.0,3.0,4.538461538461538,200.0,91.0,2013-03-09
13.0,41.0,3.0,3.6923076923076916,200.0,91.0,2013-03-09
13.0,23.0,3.0,2.8461538461538467,200.0,91.0,2013-03-09
3.0,14.0,3.0,2.0,200.0,91.0,2013-03-09
7.0,13.0,3.0,3.0,200.0,91.0,2013-03-10
12.0,14.0,4.0,8.0,200.0,91.0,2013-03-10
13.0,7.0,7.0,9.0,200.0,91.0,2013-03-10
10.0,5.0,7.0,8.0,200.0,91.0,2013-03-10
13.0,4.0,8.0,8.0,300.0,91.0,2013-03-10
8.0,8.0,10.0,8.0,300.0,91.0,2013-03-10
10.0,7.0,12.0,10.0,300.0,91.0,2013-03-10
8.0,8.0,12.0,10.0,300.0,91.0,2013-03-10
11.0,18.0,10.0,11.0,300.0,91.0,2013-03-10
18.0,19.0,13.0,13.0,400.0,91.0,2013-03-10
7.0,20.666666666666668,10.0,7.0,300.0,91.0,2013-03-10
12.0,22.333333333333332,9.0,6.0,300.0,91.0,2013-03-10
16.0,24.0,10.0,13.0,300.0,91.0,2013-03-10
16.0,23.0,10.0,15.0,400.0,91.0,2013-03-10
21.0,39.0,12.0,17.0,400.0,91.0,2013-03-10
30.0,37.0,12.0,17.0,400.0,91.0,2013-03-10
33.0,62.0,12.0,21.0,400.0,100.0,2013-03-10
37.0,77.0,13.0,22.0,400.0,100.0,2013-03-10
42.0,91.0,14.0,26.0,400.0,100.0,2013-03-10
53.0,91.0,16.0,32.0,600.0,100.0,2013-03-10
61.0,91.0,15.0,27.0,600.0,100.0,2013-03-10
56.0,78.0,14.0,25.0,600.0,100.0,2013-03-10
62.0,88.0,18.0,27.0,600.0,100.0,2013-03-10
63.0,89.0,19.0,29.0,700.0,100.0,2013-03-10
68.0,89.0,22.0,36.0,800.0,100.0,2013-03-11
68.0,89.0,23.0,36.0,900.0,100.0,2013-03-11
69.0,88.0,24.0,32.0,800.0,100.0,2013-03-11
75.0,83.0,18.0,34.0,200.0,100.0,2013-03-11
79.0,100.0,23.0,34.0,900.0,100.0,2013-03-11
83.0,97.0,16.0,39.0,1000.0,100.0,2013-03-11
85.0,94.0,16.0,42.0,900.0,100.0,2013-03-11
80.0,100.0,18.0,48.0,900.0,100.0,2013-03-11
89.0,116.0,25.0,50.0,1000.0,100.0,2013-03-11
107.0,141.0,31.0,54.0,1100.0,100.0,2013-03-11
108.0,145.0,43.0,66.0,1100.0,100.0,2013-03-11
112.0,152.0,57.0,68.0,1200.0,100.0,2013-03-11
113.0,153.0,58.0,68.0,200.0,100.0,2013-03-11
132.0,158.0,71.0,66.0,1300.0,100.0,2013-03-11
130.0,173.0,79.0,83.0,1399.0,100.0,2013-03-11
148.0,185.0,89.0,103.0,1600.0,100.0,2013-03-11
149.0,184.0,92.0,108.0,1500.0,100.0,2013-03-11
152.0,179.0,106.0,108.0,1399.0,90.0,2013-03-11
149.0,202.0,118.0,98.0,1500.0,76.0,2013-03-11
152.0,205.0,122.0,103.0,1700.0,73.0,2013-03-11
166.0,222.0,131.0,102.0,1899.0,68.0,2013-03-11
175.0,222.0,122.0,93.0,1899.0,65.0,2013-03-11
173.0,217.0,98.0,83.0,1899.0,56.0,2013-03-11
163.0,210.0,85.0,80.0,1700.0,48.0,2013-03-11
156.0,187.0,78.0,76.0,1500.0,46.0,2013-03-12
150.0,195.0,74.0,83.0,1500.0,46.0,2013-03-12
150.0,185.0,60.0,80.0,1399.0,46.0,2013-03-12
134.0,176.0,54.0,74.0,1300.0,46.0,2013-03-12
127.0,168.0,48.0,68.0,1300.0,46.0,2013-03-12
135.0,171.0,39.0,75.0,1399.0,46.0,2013-03-12
128.0,186.0,27.0,80.0,1500.0,46.0,2013-03-12
123.0,138.0,26.0,88.0,1700.0,46.0,2013-03-12
121.0,138.0,10.0,76.0,1500.0,46.0,2013-03-12
116.0,85.0,8.0,66.0,1399.0,46.0,2013-03-12
114.0,81.0,10.0,59.0,1300.0,46.0,2013-03-12
132.0,106.0,14.0,73.0,1700.0,46.0,2013-03-12
145.0,129.0,20.0,77.0,1800.0,46.0,2013-03-12
158.0,144.0,17.0,81.0,1800.0,43.0,2013-03-12
172.0,143.0,22.0,80.0,1800.0,33.0,2013-03-12
176.0,148.0,19.0,78.0,1800.0,33.0,2013-03-12
171.0,144.0,21.0,71.0,1899.0,32.0,2013-03-12
213.0,181.0,24.0,98.0,2299.0,32.0,2013-03-12
221.0,184.0,30.0,102.0,2299.0,21.0,2013-03-12
211.0,184.0,19.0,94.0,2399.0,16.0,2013-03-12
186.0,135.0,18.0,83.0,2299.0,16.0,2013-03-12
59.0,59.0,12.0,28.0,800.0,50.0,2013-03-12
6.0,6.0,3.0,2.0,200.0,78.0,2013-03-12
10.0,10.0,3.0,2.0,200.0,81.0,2013-03-12
3.0,3.0,3.0,2.0,200.0,81.0,2013-03-13
7.0,7.0,3.0,2.0,200.0,83.0,2013-03-13
9.0,9.0,3.0,3.0,200.0,83.0,2013-03-13
3.0,3.0,4.0,6.0,200.0,83.0,2013-03-13
3.0,3.0,3.0,6.0,300.0,83.0,2013-03-13
12.0,6.0,6.0,11.0,200.0,83.0,2013-03-13
9.0,3.0,6.0,13.0,300.0,83.0,2013-03-13
3.0,3.0,4.0,8.0,200.0,83.0,2013-03-13
3.0,3.0,3.0,2.0,200.0,83.0,2013-03-13
10.0,10.0,3.0,2.0,200.0,83.0,2013-03-13
10.0,10.0,3.0,2.0,200.0,86.0,2013-03-13
3.0,6.0,3.0,2.0,200.0,86.0,2013-03-13
3.0,6.0,3.0,2.0,200.0,86.0,2013-03-13
3.0,58.0,8.0,8.0,200.0,86.0,2013-03-13
13.0,28.0,8.0,6.0,200.0,86.0,2013-03-13
8.0,17.0,7.0,6.0,200.0,87.0,2013-03-13
12.0,14.0,7.0,6.0,200.0,89.0,2013-03-13
15.0,18.0,6.0,8.0,200.0,89.0,2013-03-13
18.0,29.0,6.0,14.0,300.0,89.0,2013-03-13
22.0,31.0,6.0,20.0,300.0,89.0,2013-03-13
27.0,28.0,6.0,22.0,400.0,89.0,2013-03-13
7.0,23.0,5.0,18.0,300.0,89.0,2013-03-13
25.0,26.0,8.0,24.0,500.0,89.0,2013-03-13
35.0,26.0,7.0,29.0,600.0,89.0,2013-03-13
41.0,42.0,7.0,37.0,800.0,89.0,2013-03-14
44.0,41.0,8.0,38.0,700.0,89.0,2013-03-14
44.0,45.0,8.0,39.0,700.0,89.0,2013-03-14
47.0,54.0,13.0,50.0,800.0,89.0,2013-03-14
67.0,78.0,16.0,66.0,1200.0,89.0,2013-03-14
74.0,81.0,19.0,66.0,1399.0,89.0,2013-03-14
73.0,82.0,21.0,65.0,1399.0,89.0,2013-03-14
72.0,85.0,23.0,70.0,1500.0,89.0,2013-03-14
83.0,98.0,39.0,70.0,1600.0,89.0,2013-03-14
95.0,112.0,54.0,67.0,1600.0,89.0,2013-03-14
104.0,112.0,44.0,49.0,1399.0,89.0,2013-03-14
132.0,126.0,37.0,46.0,1399.0,89.0,2013-03-14
140.0,133.0,45.0,59.0,1500.0,89.0,2013-03-14
130.0,127.0,40.0,52.0,1300.0,89.0,2013-03-14
136.0,118.0,36.0,53.0,1300.0,89.0,2013-03-14
146.0,136.0,39.0,75.0,1399.0,89.0,2013-03-14
151.0,149.0,48.0,91.0,1399.0,89.0,2013-03-14
146.0,145.0,67.0,83.0,1200.0,84.0,2013-03-14
142.0,140.0,66.0,83.0,1200.0,72.0,2013-03-14
137.0,127.0,47.0,80.0,1200.0,57.0,2013-03-14
138.0,127.0,40.0,78.0,1200.0,57.0,2013-03-14
153.0,137.0,42.0,78.0,1300.0,56.0,2013-03-14
150.0,140.0,50.0,75.0,1300.0,56.0,2013-03-14
143.0,133.0,53.0,79.0,1300.0,56.0,2013-03-14
150.0,135.0,50.0,76.0,1300.0,56.0,2013-03-15
149.0,134.0,44.0,72.0,1300.0,56.0,2013-03-15
154.0,138.0,45.0,70.0,1500.0,56.0,2013-03-15
148.0,138.0,30.0,70.0,200.0,56.0,2013-03-15
151.0,127.0,24.0,69.0,1300.0,56.0,2013-03-15
148.0,127.0,25.0,68.0,1300.0,56.0,2013-03-15
148.0,127.0,24.0,71.0,1300.0,56.0,2013-03-15
150.0,128.0,24.0,68.0,1300.0,56.0,2013-03-15
174.0,149.0,29.0,58.0,1399.0,56.0,2013-03-15
174.0,153.0,37.0,53.0,1399.0,56.0,2013-03-15
175.0,153.0,38.0,54.0,1500.0,25.0,2013-03-15
215.0,211.0,70.0,78.0,1600.0,28.0,2013-03-15
212.0,221.0,79.0,90.0,1700.0,31.0,2013-03-15
213.0,221.0,77.0,91.0,1600.0,56.0,2013-03-15
221.0,211.0,77.0,74.0,1500.0,66.0,2013-03-15
223.0,211.0,72.0,71.0,1500.0,82.0,2013-03-15
237.0,226.0,69.0,83.0,1500.0,82.0,2013-03-15
254.0,252.0,72.0,99.0,1700.0,82.0,2013-03-15
262.0,256.0,72.0,108.0,1700.0,82.0,2013-03-15
260.0,256.0,56.0,98.0,1700.0,82.0,2013-03-15
261.0,242.0,44.0,96.0,1800.0,82.0,2013-03-15
270.0,246.0,44.0,92.0,2000.0,82.0,2013-03-15
262.0,239.0,43.0,91.0,2000.0,82.0,2013-03-15
289.0,267.0,48.0,106.0,2600.0,82.0,2013-03-15
272.0,245.0,42.0,106.0,2100.0,82.0,2013-03-16
268.0,238.0,37.0,108.0,2000.0,82.0,2013-03-16
270.0,243.0,37.0,110.0,2000.0,82.0,2013-03-16
273.0,247.0,32.0,105.0,1899.0,82.0,2013-03-16
267.0,250.0,24.0,96.0,2000.0,82.0,2013-03-16
253.0,219.0,18.0,84.0,1800.0,82.0,2013-03-16
242.0,209.0,17.0,80.0,1899.0,82.0,2013-03-16
240.0,220.0,24.0,87.0,1899.0,82.0,2013-03-16
258.0,237.0,29.0,76.0,1899.0,82.0,2013-03-16
252.0,226.0,45.0,74.0,1700.0,82.0,2013-03-16
282.0,266.0,70.0,103.0,1800.0,82.0,2013-03-16
290.0,263.0,64.0,89.0,1700.0,82.0,2013-03-16
197.0,167.0,50.0,55.0,1300.0,86.0,2013-03-16
154.0,167.0,42.0,40.0,1200.0,107.0,2013-03-16
174.0,148.0,45.0,62.0,1500.0,107.0,2013-03-16
179.0,174.0,48.0,66.0,1700.0,107.0,2013-03-16
166.0,153.0,45.0,54.0,1500.0,107.0,2013-03-16
165.0,156.0,45.0,58.0,1600.0,107.0,2013-03-16
208.0,208.0,56.0,83.0,2299.0,107.0,2013-03-16
225.0,231.0,62.0,106.0,3000.0,107.0,2013-03-16
269.0,272.0,61.0,109.0,3399.0,107.0,2013-03-16
268.0,254.0,56.0,92.0,3299.0,107.0,2013-03-16
260.0,236.0,45.0,80.0,3100.0,107.0,2013-03-16
268.0,236.0,33.0,76.0,2700.0,107.0,2013-03-16
271.0,225.0,26.0,75.0,2600.0,107.0,2013-03-17
282.0,226.0,26.0,76.0,2600.0,107.0,2013-03-17
286.0,245.0,24.0,78.0,2700.0,107.0,2013-03-17
283.0,240.0,20.0,75.0,2700.0,107.0,2013-03-17
286.0,232.0,23.0,75.0,2399.0,107.0,2013-03-17
274.0,233.0,20.0,71.0,2299.0,107.0,2013-03-17
257.0,223.0,20.0,74.0,2200.0,107.0,2013-03-17
247.0,189.0,16.0,71.0,2100.0,107.0,2013-03-17
257.0,212.0,18.0,66.0,2100.0,107.0,2013-03-17
311.0,271.0,34.0,78.0,2399.0,107.0,2013-03-17
324.0,297.0,54.0,83.0,2399.0,107.0,2013-03-17
304.0,279.0,73.0,91.0,2299.0,107.0,2013-03-17
317.0,294.0,75.0,86.0,2399.0,107.0,2013-03-17
335.0,305.0,79.0,82.0,2399.0,107.0,2013-03-17
350.0,325.0,82.0,103.0,2600.0,107.0,2013-03-17
371.0,363.0,82.0,141.0,2799.0,107.0,2013-03-17
379.0,363.0,74.0,142.0,3000.0,107.0,2013-03-17
390.0,369.0,72.0,182.0,3000.0,107.0,2013-03-17
393.0,376.0,65.0,184.0,3100.0,107.0,2013-03-17
393.0,354.0,65.0,184.0,3100.0,39.0,2013-03-17
381.0,342.0,41.0,160.0,3100.0,107.0,2013-03-17
380.0,339.0,33.0,143.0,3000.0,107.0,2013-03-17
388.0,345.0,33.0,138.0,3100.0,107.0,2013-03-17
377.0,325.0,35.0,123.0,3000.0,107.0,2013-03-17
370.0,325.0,29.0,94.0,2500.0,107.0,2013-03-18
48.0,124.0,3.0,4.0,300.0,107.0,2013-03-18
24.0,117.0,3.0,3.0,200.0,107.0,2013-03-18
11.0,54.0,3.0,4.0,200.0,107.0,2013-03-18
9.0,28.0,3.0,5.0,200.0,107.0,2013-03-18
11.0,73.0,3.0,8.0,300.0,107.0,2013-03-18
16.0,66.0,6.0,10.0,300.0,107.0,2013-03-18
8.0,67.0,3.0,4.0,200.0,107.0,2013-03-18
10.0,6.0,3.0,4.0,200.0,107.0,2013-03-18
3.0,18.0,3.0,3.0,200.0,107.0,2013-03-18
9.0,6.0,3.0,3.0,200.0,107.0,2013-03-18
6.0,6.0,3.0,3.0,200.0,107.0,2013-03-18
8.0,6.0,3.0,5.0,300.0,107.0,2013-03-18
8.0,6.0,3.0,6.0,300.0,107.0,2013-03-18
7.0,6.0,3.0,7.0,300.0,93.0,2013-03-18
15.0,6.0,3.0,7.0,300.0,95.0,2013-03-18
8.0,6.0,5.0,10.0,300.0,93.0,2013-03-18
12.0,6.0,4.0,14.0,300.0,88.0,2013-03-18
17.0,15.0,5.0,23.0,400.0,80.0,2013-03-18
30.0,108.0,6.0,30.0,400.0,75.0,2013-03-18
45.0,170.0,13.0,34.0,600.0,65.0,2013-03-18
46.0,123.0,12.0,33.0,700.0,57.0,2013-03-18
44.0,93.0,10.0,33.0,700.0,53.0,2013-03-18
44.0,93.0,10.0,33.0,700.0,45.0,2013-03-18
43.0,77.0,10.0,37.0,800.0,44.0,2013-03-19
41.0,81.0,10.0,35.0,800.0,39.0,2013-03-19
36.0,43.0,4.0,31.0,800.0,37.0,2013-03-19
40.0,20.0,4.0,28.0,200.0,29.0,2013-03-19
29.0,6.0,4.0,31.0,600.0,21.0,2013-03-19
43.0,18.0,3.0,36.0,600.0,24.0,2013-03-19
43.0,20.0,3.0,36.0,500.0,30.0,2013-03-19
40.0,33.0,3.0,29.0,500.0,26.0,2013-03-19
